    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	-7,03181073064590E-001	-7,03181073064590E-001	3,89246800031684E-002	 1,02160886389150E-001	-9,36710463384537E-002	1,52428398804864E-001	-7,71605002114484E-015	-6,28715829398274E-014	1,06704575730809E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-2,10622366791634E+000	-2,10622366791634E+000	5,86208363179141E-005	 1,34321760204781E+000	-1,63046119352223E-004	1,69367103826703E+000	 2,68011318691106E-001	-5,55946578064962E-006	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-3,76943393583941E+000	-3,76943393583941E+000	3,29549126897870E-005	 1,98840581894081E+000	-2,20847139338000E-004	2,47531139895095E+000	 8,34746953403614E-001	-7,07522542344873E-005	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-5,66766686622757E+000	-5,66766686622757E+000	1,74607721085982E-005	 2,29535600547745E+000	-1,37686048637471E-004	2,57518838288977E+000	 1,57246412781783E+000	-1,38816031015934E-004	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-7,77577744847458E+000	-7,77577744847458E+000	1,52355267939873E-005	 2,52169863006703E+000	-9,15371077159161E-005	2,52169863006703E+000	 2,37997413435782E+000	-1,71294619587021E-004	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	-7,33929002495639E-001	-7,33929002495639E-001	3,86652128032354E-002	-3,32240004711544E-002	-1,54617740613942E-001	1,15953671072640E-001	 8,80007872128274E-014	-1,20610119114239E-013	8,80007872128274E-014
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-2,10346161665940E+000	-2,10346161665940E+000	5,92449883760940E-005	-1,37334994838123E+000	-1,70839787254120E+000	1,65260995917066E-004	-2,64134859304819E-001	-3,10337921539204E-001	5,97419401727673E-006
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-3,75763734610609E+000	-3,75763734610609E+000	3,35130310771238E-005	-2,04412705196843E+000	-2,50190406608942E+000	2,23356662722812E-004	-8,46417788657054E-001	-1,03842117448659E+000	7,19705216628353E-005
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-5,66654198941668E+000	-5,66654198941668E+000	1,77458822228144E-005	-2,32419858169458E+000	-2,57509762552508E+000	1,39423985631943E-004	-1,60030877014649E+000	-1,91243710325462E+000	1,40805192315104E-004
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-7,80026134517215E+000	-7,80026134517215E+000	1,51321887008357E-005	-2,49220780802153E+000	-2,49220780802153E+000	9,26275771590958E-005	-2,40798329310570E+000	-2,68516526583893E+000	1,73722993957923E-004
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-7,77052221366916E+000	-7,77052221366916E+000	1,35585556219019E-005	 2,48879881641778E+000	-9,62783988050832E-005	2,48879881641778E+000	 2,37997413435792E+000	-1,71294619586654E-004	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-9,62297648331387E+000	-9,62297648331387E+000	1,50760266216634E-005	 2,10523060017077E+000	-9,56810692530372E-005	2,10523060017077E+000	 2,95916487176722E+000	-1,95395032397855E-004	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-1,15351156431035E+001	-1,15351156431035E+001	1,67990418941158E-005	 1,50403741629241E+000	-9,08399506461018E-005	1,50403741629241E+000	 3,41405266945920E+000	-2,18766032195316E-004	3,59614990489977E+000
                      	  465	           4	-7,50000000000000E+000	 7,50000000000000E-001	-1,34468992025373E+001	-1,34468992025373E+001	1,86984302756361E-005	 7,09678624095331E-001	-8,28094427221549E-005	7,09678624095331E-001	 3,69526890406049E+000	-2,40559865203994E-004	3,81599418516580E+000
                      	  464	           5	-7,50000000000000E+000	 5,00000000000000E-001	-1,52982866711144E+001	-1,52982866711144E+001	2,07450206026014E-005	-2,53386417107885E-001	-3,21718289824916E-001	0,00000000000000E+000	 3,75525161383301E+000	-2,60008593615606E-004	3,84163860339377E+000
           Plate\_2\_2	 8268	           1	 7,50000000000000E+000	 1,50000000000000E+000	-7,78561596690931E+000	-7,78561596690931E+000	1,35790948467085E-005	-2,48179731212739E+000	-2,48179731212739E+000	9,71020470967527E-005	-2,40798329310566E+000	-2,68516526583915E+000	1,73722993957720E-004
   Element 4-4 (Plate)	 7765	           2	 7,50000000000000E+000	 1,25000000000000E+000	-9,63701964007385E+000	-9,63701964007385E+000	1,50910575623070E-005	-2,10438390293122E+000	-2,10438390293122E+000	9,62383246482326E-005	-2,98631127243418E+000	-3,20663479830589E+000	1,97994229288177E-004
                (ERSS)	 7766	           3	 7,50000000000000E+000	 1,00000000000000E+000	-1,15491202424560E+001	-1,15491202424560E+001	1,67979894368033E-005	-1,50490601352201E+000	-1,50490601352201E+000	9,11927554063671E-005	-3,44125151816454E+000	-3,59218234740077E+000	2,21478490431331E-004
                      	 7767	           4	 7,50000000000000E+000	 7,50000000000000E-001	-1,34610441094461E+001	-1,34610441094461E+001	1,86711199404051E-005	-7,09024441796964E-001	-7,09024441796964E-001	8,29978775904623E-005	-3,72258000938877E+000	-3,81208093031566E+000	2,43338843490405E-004
                      	 7764	           5	 7,50000000000000E+000	 5,00000000000000E-001	-1,53119175764345E+001	-1,53119175764345E+001	2,06816785433204E-005	 2,57600014346723E-001	 0,00000000000000E+000	3,23692797575859E-001	-3,78197094105647E+000	-3,85425538219415E+000	2,62816489665886E-004
           Plate\_1\_3	  464	           1	-7,50000000000000E+000	 5,00000000000000E-001	-1,52809426175275E+001	-1,52809426175275E+001	2,06659355514839E-005	-2,13308216028256E-001	-3,04242683383749E-001	0,00000000000000E+000	 3,75525161383290E+000	-2,60008593618092E-004	3,84163860339347E+000
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-1,79965205580794E+001	-1,79965205580794E+001	2,40521324362777E-005	-2,03590999810177E+000	-2,03590999810177E+000	0,00000000000000E+000	 3,29199456192371E+000	-2,87449033651482E-004	3,41741931151603E+000
                (ERSS)	  294	           3	-7,50000000000000E+000	-3,33333333333333E-001	-2,04043809035251E+001	-2,04043809035251E+001	2,67597521124479E-005	-3,95365517377995E+000	-3,95365517377995E+000	0,00000000000000E+000	 2,04395393653186E+000	-3,08893386794546E-004	2,36229208744535E+000
                      	  293	           4	-7,50000000000000E+000	-7,50000000000000E-001	-2,25062128726708E+001	-2,25062128726708E+001	2,87848896072836E-005	-5,91553974410358E+000	-5,91553974410358E+000	0,00000000000000E+000	-9,60669147410154E-003	-9,60669147410154E-003	9,50892471800056E-001
                      	  292	           5	-7,50000000000000E+000	-1,16666666666667E+000	-2,43037056843228E+001	-2,43037056843228E+001	3,01236399480740E-005	-7,87055971011347E+000	-7,87055971011347E+000	0,00000000000000E+000	-2,88321092174325E+000	-2,88321092174325E+000	7,14397789545809E-004
           Plate\_1\_3	  292	           1	-7,50000000000000E+000	-1,16666666666667E+000	-2,43047318932001E+001	-2,43047318932001E+001	3,01603082569672E-005	-7,77481498625121E+000	-7,77481498625121E+000	0,00000000000000E+000	-2,88321092174340E+000	-2,88321092174340E+000	7,14397789549675E-004
  Element 6-11 (Plate)	   45	           2	-7,50000000000000E+000	-1,37500000000000E+000	-2,50976069246926E+001	-2,50976069246926E+001	3,06262972500084E-005	-8,66257325488021E+000	-8,66257325488021E+000	0,00000000000000E+000	-4,59837858763740E+000	-4,59837858763740E+000	0,00000000000000E+000
                (ERSS)	   44	           3	-7,50000000000000E+000	-1,58333333333333E+000	-2,58116736773958E+001	-2,58116736773958E+001	3,09866641192983E-005	-9,30444077756308E+000	-9,30444077756308E+000	0,00000000000000E+000	-6,47619314471444E+000	-6,47619314471444E+000	0,00000000000000E+000
