    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	 3,22417603511530E-001	-8,04530658812172E-001	3,22417603511530E-001	 8,35444849731811E-001	-9,36710463384537E-002	8,35444849731811E-001	-7,31359417471822E-015	-6,30523411260242E-013	3,66623398306842E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-1,61285184334250E+000	-2,30590253524302E+000	5,86208363179141E-005	-3,11821432529158E+000	-3,11821432529158E+000	1,69367103826703E+000	-3,82573688630120E-001	-3,85607683714780E-001	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-3,28280603261333E+000	-3,91962328479016E+000	3,29549126897870E-005	-7,52142473454382E+000	-7,52142473454382E+000	2,47531139895095E+000	-2,14905485186974E+000	-2,14905485186974E+000	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-4,82394942395829E+000	-5,66766686622757E+000	1,74607721085982E-005	-1,27285492705037E+001	-1,27285492705037E+001	2,57518838288977E+000	-5,55110039372183E+000	-5,55110039372183E+000	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-6,37278647703466E+000	-7,77577744847458E+000	1,52355267939873E-005	-1,90939508256499E+001	-1,90939508256499E+001	2,52169863006703E+000	-1,08773498319527E+001	-1,08773498319527E+001	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	 2,68270002714268E-001	-8,29799505828942E-001	2,68270002714268E-001	-6,95934110605156E-001	-6,95934110605156E-001	1,15953671072640E-001	 1,71668235182665E-014	-6,68284871885305E-013	5,12059145085786E-013
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-1,59630169940239E+000	-2,30903881785010E+000	5,92449883760940E-005	 3,07291177599008E+000	-1,70839787254120E+000	3,07291177599008E+000	 3,93727918373699E-001	-3,10337921539204E-001	3,93727918373699E-001
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-3,25141959740809E+000	-3,91869754632023E+000	3,35130310771238E-005	 7,43243411437182E+000	-2,50190406608942E+000	7,43243411437182E+000	 2,13486575731146E+000	-1,03842117448659E+000	2,13486575731146E+000
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-4,82312907731291E+000	-5,66654198941668E+000	1,77458822228144E-005	 1,27100802258749E+001	-2,57509762552508E+000	1,27100802258749E+001	 5,51501374503155E+000	-1,91243710325462E+000	5,51501374503155E+000
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-6,43747552512692E+000	-7,80026134517215E+000	1,51321887008357E-005	 1,92332974318343E+001	-2,49220780802153E+000	1,92332974318343E+001	 1,08599874991773E+001	-2,68516526583893E+000	1,08599874991773E+001
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-6,38821929421263E+000	-7,77052221366916E+000	1,35585556219019E-005	-1,91366672412358E+001	-1,91366672412358E+001	2,48879881641778E+000	-1,08773498319528E+001	-1,08773498319528E+001	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-8,05974781190017E+000	-9,62297648331387E+000	1,50760266216634E-005	-2,59354310028008E+001	-2,59354310028008E+001	2,10523060017077E+000	-1,64882101945215E+001	-1,64882101945215E+001	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-9,78983733548287E+000	-1,15351156431035E+001	1,67990418941158E-005	-3,35131863006560E+001	-3,35131863006560E+001	1,50403741629241E+000	-2,39142413850680E+001	-2,39142413850680E+001	3,59614990489977E+000
                      	  465	           4	-7,50000000000000E+000	 7,50000000000000E-001	-1,14818053752062E+001	-1,34468992025373E+001	1,86984302756361E-005	-4,16176931969325E+001	-4,16176931969325E+001	7,09678624095331E-001	-3,32925482822566E+001	-3,32925482822566E+001	3,81599418516580E+000
                      	  464	           5	-7,50000000000000E+000	 5,00000000000000E-001	-1,30389694413156E+001	-1,52982866711144E+001	2,07450206026014E-005	-4,99967117537613E+001	-4,99967117537613E+001	0,00000000000000E+000	-4,47416571376446E+001	-4,47416571376446E+001	3,84163860339377E+000
           Plate\_2\_2	 8268	           1	 7,50000000000000E+000	 1,50000000000000E+000	-6,45322117011300E+000	-7,78561596690931E+000	1,35790948467085E-005	 1,92760045895379E+001	-2,48179731212739E+000	1,92760045895379E+001	 1,08599874991773E+001	-2,68516526583915E+000	1,08599874991773E+001
   Element 4-4 (Plate)	 7765	           2	 7,50000000000000E+000	 1,25000000000000E+000	-7,94954549111279E+000	-9,63701964007385E+000	1,50910575623070E-005	 2,56257826674706E+001	-2,10438390293122E+000	2,56257826674706E+001	 1,64478638981199E+001	-3,20663479830589E+000	1,64478638981199E+001
                (ERSS)	 7766	           3	 7,50000000000000E+000	 1,00000000000000E+000	-9,58739613020454E+000	-1,15491202424560E+001	1,67979894368033E-005	 3,29691878454318E+001	-1,50490601352201E+000	3,29691878454318E+001	 2,37580845774919E+001	-3,59218234740077E+000	2,37580845774919E+001
                      	 7767	           4	 7,50000000000000E+000	 7,50000000000000E-001	-1,13208427748259E+001	-1,34610441094461E+001	1,86711199404051E-005	 4,11825650859765E+001	-7,09024441796964E-001	4,11825650859765E+001	 3,30087262143010E+001	-3,81208093031566E+000	3,30087262143010E+001
                      	 7764	           5	 7,50000000000000E+000	 5,00000000000000E-001	-1,31039551124145E+001	-1,53119175764345E+001	2,06816785433204E-005	 5,01422593516602E+001	 0,00000000000000E+000	5,01422593516602E+001	 4,44090795459115E+001	-3,85425538219415E+000	4,44090795459115E+001
           Plate\_1\_3	  464	           1	-7,50000000000000E+000	 5,00000000000000E-001	-1,32192611314796E+001	-1,52809426175275E+001	2,06659355514839E-005	-5,00605130992012E+001	-5,00605130992012E+001	0,00000000000000E+000	-4,47416571376446E+001	-4,47416571376446E+001	3,84163860339347E+000
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-1,40762140190248E+001	-1,79965205580794E+001	2,40521324362777E-005	-6,07454983807520E+001	-6,07454983807520E+001	0,00000000000000E+000	-6,79720641224413E+001	-6,79720641224413E+001	3,41741931151603E+000
