    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	 3,24165110295347E-001	-8,04530658812172E-001	3,24165110295347E-001	 8,37852171008237E-001	-9,36710463384537E-002	8,37852171008237E-001	 5,55111512312578E-017	-6,30523411260242E-013	3,66623398306842E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-1,61547622071386E+000	-2,30590253524302E+000	5,86208363179141E-005	-3,11924496666168E+000	-3,12129827599300E+000	1,69367103826703E+000	-3,82000223692722E-001	-3,85607683714780E-001	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-3,29312414884919E+000	-3,91962328479016E+000	3,29549126897870E-005	-7,53809621208112E+000	-7,53819258340663E+000	2,47531139895095E+000	-2,15112377984867E+000	-2,15203089750662E+000	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-4,84579479316001E+000	-5,66766686622757E+000	1,74607721085982E-005	-1,27731371100856E+001	-1,27731371100856E+001	2,57518838288977E+000	-5,56316303051130E+000	-5,56326530036581E+000	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-6,41050427269571E+000	-7,77577744847458E+000	1,52355267939873E-005	-1,91788032055106E+001	-1,91788032055106E+001	2,52169863006703E+000	-1,09109028298472E+001	-1,09109028298472E+001	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	 2,69754610056721E-001	-8,29799505828942E-001	2,69754610056721E-001	-6,99161781132624E-001	-6,99161781132624E-001	1,15953671072640E-001	-2,77555756156289E-017	-6,68284871885305E-013	5,12059145085786E-013
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-1,59995341512183E+000	-2,30903881785010E+000	5,92449883760940E-005	 3,10845618926130E+000	-1,70839787254120E+000	3,10845618926130E+000	 3,99487171072798E-001	-3,10337921539204E-001	3,99810676270938E-001
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-3,25913291827659E+000	-3,91869754632023E+000	3,35130310771238E-005	 7,49805427911390E+000	-2,50190406608942E+000	7,49805427911390E+000	 2,15784070351573E+000	-1,03842117448659E+000	2,15790113104079E+000
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-4,83465746053981E+000	-5,66654198941668E+000	1,77458822228144E-005	 1,27992968775034E+001	-2,57509762552508E+000	1,27992968775034E+001	 5,56434832045093E+000	-1,91243710325462E+000	5,56434832045093E+000
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-6,45340060304374E+000	-7,80026134517215E+000	1,51321887008357E-005	 1,93418483735080E+001	-2,49220780802153E+000	1,93419568825432E+001	 1,09427441593852E+001	-2,68516526583893E+000	1,09427441593852E+001
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-6,42647225681354E+000	-7,77052221366916E+000	1,35585556219019E-005	-1,85350989247947E+001	-1,91366672412358E+001	2,48879881641778E+000	-1,09109028298471E+001	-1,09109028298471E+001	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-8,10640701425369E+000	-9,62297648331387E+000	1,50760266216634E-005	-2,53552732622559E+001	-2,59354310028008E+001	2,10523060017077E+000	-1,63740604407028E+001	-1,64882101945215E+001	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-9,84618651343906E+000	-1,15351156431035E+001	1,67990418941158E-005	-3,29553659055823E+001	-3,35131863006560E+001	1,50403741629241E+000	-2,36577954514321E+001	-2,39142413850680E+001	3,59614990489977E+000
