    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	 1,09554487144399E+000	-8,04530658812172E-001	1,09575603096113E+000	 2,88116968225798E+000	-9,36710463384537E-002	2,88308767755151E+000	-4,49640324973188E-014	-6,30523411260242E-013	3,66623398306842E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-5,20568162147378E+000	-5,26598259238743E+000	5,86208363179141E-005	-1,26284182388690E+001	-1,26420993915753E+001	1,69367103826703E+000	-1,69519633112575E+000	-1,70306000874940E+000	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-1,07170760098491E+001	-1,07461975262171E+001	3,29549126897870E-005	-2,70787179956065E+001	-2,70787179956065E+001	2,47531139895095E+000	-8,39232268638222E+000	-8,39232268638222E+000	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-1,57096229996705E+001	-1,57096229996705E+001	1,74607721085982E-005	-4,12161195111073E+001	-4,12161195111073E+001	2,57518838288977E+000	-1,99423730927473E+001	-1,99423730927473E+001	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-2,04543072969263E+001	-2,04543072969263E+001	1,52355267939873E-005	-5,57870127085242E+001	-5,57870127085242E+001	2,52169863006703E+000	-3,62746983484672E+001	-3,62746983484672E+001	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	 1,03462328171164E+000	-8,29799505828942E-001	1,05326685640227E+000	-2,88493193314965E+000	-2,91678239613714E+000	1,15953671072640E-001	 2,83384427035571E-014	-6,68284871885305E-013	5,12059145085786E-013
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-5,14951581724402E+000	-5,21686689833524E+000	5,92449883760940E-005	 1,30799472368493E+001	-1,70839787254120E+000	1,30799472368493E+001	 1,77775262570902E+000	-3,10337921539204E-001	1,77775262570902E+000
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-1,05970503435118E+001	-1,06628908160637E+001	3,35130310771238E-005	 2,77809131927749E+001	-2,50190406608942E+000	2,77809131927749E+001	 8,67326276738641E+000	-1,03842117448659E+000	8,67326276738641E+000
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-1,55776330229550E+001	-1,55776330229550E+001	1,77458822228144E-005	 4,20085211950296E+001	-2,57509762552508E+000	4,20085211950296E+001	 2,04809786808900E+001	-1,91243710325462E+000	2,04809786808900E+001
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-2,03609165814372E+001	-2,03609165814372E+001	1,51321887008357E-005	 5,65533265040159E+001	-2,49220780802153E+000	5,65533265040159E+001	 3,70782673395026E+001	-2,68516526583893E+000	3,70782673395026E+001
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-2,03097400624449E+001	-2,03097400624449E+001	1,35585556219019E-005	 1,37538814599061E+002	-1,91366672412358E+001	1,37538814599061E+002	-3,62746983484671E+001	-3,62746983484671E+001	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-2,35447434063112E+001	-2,35447434063112E+001	1,50760266216634E-005	 1,26712285178453E+002	-2,59354310028008E+001	1,26712285178453E+002	-3,24188852436355E+000	-1,64882101945215E+001	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-2,65953830463718E+001	-2,65953830463718E+001	1,67990418941158E-005	 1,15739168320774E+002	-3,35131863006560E+001	1,15739168320774E+002	 2,70645047412492E+001	-2,39142413850680E+001	2,70645047412492E+001
                      	  465	           4	-7,50000000000000E+000	 7,50000000000000E-001	-2,93603849457219E+001	-2,93603849457219E+001	1,86984302756361E-005	 1,04883464430919E+002	-4,16176931969325E+001	1,04883464430919E+002	 5,46508489257392E+001	-3,32925482822566E+001	5,46508489257392E+001
                      	  464	           5	-7,50000000000000E+000	 5,00000000000000E-001	-3,17384750674565E+001	-3,17384750674565E+001	2,07450206026014E-005	 9,44091739137810E+001	-4,99967117537613E+001	9,44091739137810E+001	 7,95427348686835E+001	-4,47416571376446E+001	7,95427348686835E+001
           Plate\_2\_2	 8268	           1	 7,50000000000000E+000	 1,50000000000000E+000	-2,01668776143051E+001	-2,01668776143051E+001	1,35790948467085E-005	-1,36818956885579E+002	-1,36818956885579E+002	1,92760045895379E+001	 3,70782673395026E+001	-2,68516526583915E+000	3,70782673395026E+001
   Element 4-4 (Plate)	 7765	           2	 7,50000000000000E+000	 1,25000000000000E+000	-2,33452877040895E+001	-2,33452877040895E+001	1,50910575623070E-005	-1,26134400142881E+002	-1,26134400142881E+002	2,56257826674706E+001	 4,21080386409705E+000	-3,20663479830589E+000	1,64478638981199E+001
