    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	 1,09497644524934E+000	-8,04530658812172E-001	1,09575603096113E+000	 2,88030679646207E+000	-9,36710463384537E-002	2,88308767755151E+000	-1,66533453693774E-016	-6,30523411260242E-013	3,66623398306842E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-5,20644383149545E+000	-5,26598259238743E+000	5,86208363179141E-005	-1,26243771583203E+001	-1,26420993915753E+001	1,69367103826703E+000	-1,69460760078292E+000	-1,70306000874940E+000	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-1,07187695470501E+001	-1,07461975262171E+001	3,29549126897870E-005	-2,70719184141782E+001	-2,70787179956065E+001	2,47531139895095E+000	-8,38983094068537E+000	-8,39232268638222E+000	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-1,57129607441905E+001	-1,57129607441905E+001	1,74607721085982E-005	-4,12089691215339E+001	-4,12161195111073E+001	2,57518838288977E+000	-1,99374643039229E+001	-1,99423730927473E+001	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-2,04599774656924E+001	-2,04599774656924E+001	1,52355267939873E-005	-5,57821814308097E+001	-5,57870127085242E+001	2,52169863006703E+000	-3,62676855486638E+001	-3,62746983484672E+001	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	 1,03339804098064E+000	-8,29799505828942E-001	1,05326685640227E+000	-2,88158618652701E+000	-2,91678239613714E+000	1,15953671072640E-001	-5,55111512312578E-017	-6,68284871885305E-013	5,12059145085786E-013
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-5,15025061997735E+000	-5,21686689833524E+000	5,92449883760940E-005	 1,30778712893759E+001	-1,70839787254120E+000	1,30799472368493E+001	 1,77785070045252E+000	-3,10337921539204E-001	1,77794383143419E+000
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-1,05971257123061E+001	-1,06628908160637E+001	3,35130310771238E-005	 2,77777955844086E+001	-2,50190406608942E+000	2,77809131927749E+001	 8,67234960968066E+000	-1,03842117448659E+000	8,67337366553357E+000
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-1,55780639438150E+001	-1,55780639438150E+001	1,77458822228144E-005	 4,20089764155057E+001	-2,57509762552508E+000	4,20093987021125E+001	 2,04794907344432E+001	-1,91243710325462E+000	2,04811674972903E+001
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-2,03639020223135E+001	-2,03639020223135E+001	1,51321887008357E-005	 5,65622034996020E+001	-2,49220780802153E+000	5,65622034996020E+001	 3,70782110563560E+001	-2,68516526583893E+000	3,70791408982168E+001
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-2,03140615298608E+001	-2,03140615298608E+001	1,35585556219019E-005	 1,37530097897733E+002	-1,91366672412358E+001	1,37538814599061E+002	-3,62676855486638E+001	-3,62746983484671E+001	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-2,35512420799703E+001	-2,35512420799703E+001	1,50760266216634E-005	 1,26702188477430E+002	-2,59354310028008E+001	1,26712285178453E+002	-3,23721883490827E+000	-1,64882101945215E+001	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-2,66038647174703E+001	-2,66038647174703E+001	1,67990418941158E-005	 1,15727438531445E+002	-3,35131863006560E+001	1,15739168320774E+002	 2,70664461559034E+001	-2,39142413850680E+001	2,70664461559034E+001
                      	  465	           4	-7,50000000000000E+000	 7,50000000000000E-001	-2,93707004000520E+001	-2,93707004000520E+001	1,86984302756361E-005	 1,04869974672876E+002	-4,16176931969325E+001	1,04883464430919E+002	 5,46496417974255E+001	-3,32925482822566E+001	5,46508489257392E+001
                      	  464	           5	-7,50000000000000E+000	 5,00000000000000E-001	-3,17505200854065E+001	-3,17505200854065E+001	2,07450206026014E-005	 9,43939235148205E+001	-4,99967117537613E+001	9,44091739137810E+001	 7,95379333034745E+001	-4,47416571376446E+001	7,95427348686835E+001
           Plate\_2\_2	 8268	           1	 7,50000000000000E+000	 1,50000000000000E+000	-2,01688052497185E+001	-2,01688052497185E+001	1,35790948467085E-005	-1,36796691628425E+002	-1,36818956885579E+002	1,92760045895379E+001	 3,70782110563560E+001	-2,68516526583915E+000	3,70791408982168E+001
   Element 4-4 (Plate)	 7765	           2	 7,50000000000000E+000	 1,25000000000000E+000	-2,33479018748865E+001	-2,33479018748865E+001	1,50910575623070E-005	-1,26113196707463E+002	-1,26134400142881E+002	2,56257826674706E+001	 4,21612203723874E+000	-3,20663479830589E+000	1,64478638981199E+001
                (ERSS)	 7766	           3	 7,50000000000000E+000	 1,00000000000000E+000	-2,63384909770866E+001	-2,63384909770866E+001	1,67979894368033E-005	-1,15293122790689E+002	-1,15315420148204E+002	3,29691878454318E+001	-2,59642233231637E+001	-2,59749571564133E+001	2,37580845774919E+001
                      	 7767	           4	 7,50000000000000E+000	 7,50000000000000E-001	-2,90917684416763E+001	-2,90917684416763E+001	1,86711199404051E-005	-1,04465431696935E+002	-1,04490372219701E+002	4,11825650859765E+001	-5,34431275323079E+001	-5,34597259948961E+001	3,30087262143010E+001
                      	 7764	           5	 7,50000000000000E+000	 5,00000000000000E-001	-3,15589301540129E+001	-3,15589301540129E+001	2,06816785433204E-005	-9,37590852450356E+001	-9,37876116755259E+001	5,01422593516602E+001	-7,82098342920537E+001	-7,82331080577605E+001	4,44090795459115E+001
           Plate\_1\_3	  464	           1	-7,50000000000000E+000	 5,00000000000000E-001	-3,17938029905952E+001	-3,17938029905952E+001	2,06659355514839E-005	 9,42793669914482E+001	-5,00605130992012E+001	9,42937164280483E+001	 7,95379333034745E+001	-4,47416571376446E+001	7,95427348686834E+001
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-3,49859476505357E+001	-3,49859476505357E+001	2,40521324362777E-005	 7,74386162118698E+001	-6,07454983807520E+001	7,74577900012534E+001	 1,15326652935507E+002	-6,79720641224413E+001	1,15338415315022E+002
