    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_1	  481	           1	-7,50000000000000E+000	 2,85000000000000E+000	 1,11451525270882E+000	-8,04530658812172E-001	1,11892218795259E+000	 2,88110749576674E+000	-9,36710463384537E-002	2,89271215493922E+000	 0,00000000000000E+000	-6,30523411260242E-013	3,66623398306842E-013
   Element 1-1 (Plate)	  480	           2	-7,50000000000000E+000	 2,51250000000000E+000	-4,31948551849978E+000	-5,26598259238743E+000	5,86208363179141E-005	-1,01006830410835E+001	-1,26420993915753E+001	1,69367103826703E+000	-1,14215474774272E+000	-1,70306000874940E+000	3,13423271299049E-001
                (ERSS)	  479	           3	-7,50000000000000E+000	 2,17500000000000E+000	-1,01182787032564E+001	-1,07781219452398E+001	3,29549126897870E-005	-2,51477546231217E+001	-2,70787179956065E+001	2,47531139895095E+000	-7,06354766718151E+000	-8,39232268638222E+000	1,03419525045104E+000
                      	  478	           4	-7,50000000000000E+000	 1,83750000000000E+000	-1,60517004772770E+001	-1,60742400549903E+001	1,74607721085982E-005	-4,16646569078327E+001	-4,17334336698328E+001	2,57518838288977E+000	-1,82860791107730E+001	-1,99423730927473E+001	1,90081049994095E+000
                      	  482	           5	-7,50000000000000E+000	 1,50000000000000E+000	-2,18895870162776E+001	-2,19017268506884E+001	1,52355267939873E-005	-5,90559395527013E+001	-5,90944868059572E+001	2,52169863006703E+000	-3,52721403522486E+001	-3,62762473975197E+001	2,68589307815659E+000
           Plate\_2\_1	 8264	           1	 7,50000000000000E+000	 2,85000000000000E+000	 1,08551342410368E+000	-8,29799505828942E-001	1,11301454693183E+000	-2,80603631289003E+000	-2,91678239613714E+000	1,15953671072640E-001	 0,00000000000000E+000	-6,68284871885305E-013	5,12059145085786E-013
   Element 2-2 (Plate)	 8265	           2	 7,50000000000000E+000	 2,51250000000000E+000	-4,33093727661825E+000	-5,21686689833524E+000	5,92449883760940E-005	 1,01302691393124E+001	-1,70839787254120E+000	1,30799472368493E+001	 1,15850928107923E+000	-3,10337921539204E-001	1,77794383143419E+000
                (ERSS)	 8266	           3	 7,50000000000000E+000	 2,17500000000000E+000	-1,01282366632574E+001	-1,06949933623915E+001	3,35130310771238E-005	 2,51731412269405E+001	-2,50190406608942E+000	2,77809131927749E+001	 7,08825777355529E+000	-1,03842117448659E+000	8,67337366553357E+000
                      	 8267	           4	 7,50000000000000E+000	 1,83750000000000E+000	-1,60742173328359E+001	-1,60778938114028E+001	1,77458822228144E-005	 4,17221804069302E+001	-2,57509762552508E+000	4,20290570367024E+001	 1,83236592064861E+001	-1,91243710325462E+000	2,04811674972903E+001
                      	 8268	           5	 7,50000000000000E+000	 1,50000000000000E+000	-2,19367118823759E+001	-2,19367118823759E+001	1,51321887008357E-005	 5,91769871362174E+001	-2,49220780802153E+000	5,91769871362174E+001	 3,53391106666151E+001	-2,68516526583893E+000	3,70868594477155E+001
           Plate\_1\_2	  482	           1	-7,50000000000000E+000	 1,50000000000000E+000	-2,19885337599718E+001	-2,20009432744724E+001	1,35585556219019E-005	 1,00234858648034E+002	-1,91366672412358E+001	1,37538814599061E+002	-3,52721403522486E+001	-3,62762473975197E+001	2,68589307815664E+000
   Element 3-3 (Plate)	  467	           2	-7,50000000000000E+000	 1,25000000000000E+000	-2,63627918104680E+001	-2,63721151392578E+001	1,50760266216634E-005	 8,65012844833554E+001	-2,59354310028008E+001	1,26712285178453E+002	-1,19003599568423E+001	-1,64882101945215E+001	3,20982533738254E+000
                (ERSS)	  466	           3	-7,50000000000000E+000	 1,00000000000000E+000	-3,09356274373877E+001	-3,09406127327097E+001	1,67990418941158E-005	 7,16365306070294E+001	-3,35131863006560E+001	1,15739168320774E+002	 7,87551282888153E+000	-2,39142413850680E+001	2,70664461559034E+001
                      	  465	           4	-7,50000000000000E+000	 7,50000000000000E-001	-3,55066115152701E+001	-3,55067660362120E+001	1,86984302756361E-005	 5,61611023060435E+001	-4,16176931969325E+001	1,04883464430919E+002	 2,38753210879407E+001	-3,32925482822566E+001	5,46508489257392E+001
                      	  464	           5	-7,50000000000000E+000	 5,00000000000000E-001	-3,98753149186547E+001	-3,98753149186547E+001	2,07450206026014E-005	 4,05955048673848E+001	-4,99967117537613E+001	9,44091739137810E+001	 3,59573281435719E+001	-4,47416571376446E+001	7,95427348686835E+001
           Plate\_2\_2	 8268	           1	 7,50000000000000E+000	 1,50000000000000E+000	-2,20063415462522E+001	-2,20063415462522E+001	1,35790948467085E-005	-1,00189460575107E+002	-1,36818956885579E+002	1,92760045895379E+001	 3,53391106666151E+001	-2,68516526583915E+000	3,70868594477155E+001
   Element 4-4 (Plate)	 7765	           2	 7,50000000000000E+000	 1,25000000000000E+000	-2,63323684167291E+001	-2,63323684167291E+001	1,50910575623070E-005	-8,65803693939979E+001	-1,26134400142881E+002	2,56257826674706E+001	 1,19640327245986E+001	-3,20663479830589E+000	1,64478638981199E+001
                (ERSS)	 7766	           3	 7,50000000000000E+000	 1,00000000000000E+000	-3,08422843900632E+001	-3,08422843900632E+001	1,67979894368033E-005	-7,18776860828667E+001	-1,15315420148204E+002	3,29691878454318E+001	-7,85131486672616E+000	-2,59749571564133E+001	2,37580845774919E+001
                      	 7767	           4	 7,50000000000000E+000	 7,50000000000000E-001	-3,53378901817869E+001	-3,53378901817869E+001	1,86711199404051E-005	-5,65960656637974E+001	-1,04490372219701E+002	4,11825650859765E+001	-2,39348972780924E+001	-5,34597259948961E+001	3,30087262143010E+001
                      	 7764	           5	 7,50000000000000E+000	 5,00000000000000E-001	-3,96209865074327E+001	-3,96209865074327E+001	2,06816785433204E-005	-4,12501631588732E+001	-9,37876116755259E+001	5,01422593516602E+001	-3,61526687008266E+001	-7,82331080577605E+001	4,44090795459115E+001
           Plate\_1\_3	  464	           1	-7,50000000000000E+000	 5,00000000000000E-001	-4,01414186283062E+001	-4,01414186283062E+001	2,06659355514839E-005	 3,99042186454971E+001	-5,00605130992012E+001	9,42937164280483E+001	 3,59573281435719E+001	-4,47416571376446E+001	7,95427348686834E+001
  Element 6-10 (Plate)	  295	           2	-7,50000000000000E+000	 8,33333333333334E-002	-4,76674822622094E+001	-4,76674822622094E+001	2,40521324362777E-005	 1,19628382890710E+001	-6,07454983807520E+001	7,74577900012534E+001	 4,67973214612949E+001	-6,79720641224413E+001	1,15338415315022E+002
