stage,stage_title,element_no,group,vx[kN/m]
4031,Shear keys - BS - 2553/2554,20101,201,2.33
4031,Shear keys - BS - 2553/2554,20102,201,1.29
4031,Shear keys - BS - 2553/2554,20103,201,0.87
4031,Shear keys - BS - 2553/2554,20104,201,0.74
4031,Shear keys - BS - 2553/2554,20105,201,0.64
4031,Shear keys - BS - 2553/2554,20106,201,0.74
4031,Shear keys - BS - 2553/2554,20107,201,0.75
4031,Shear keys - BS - 2553/2554,20108,201,0.74
4031,Shear keys - BS - 2553/2554,20109,201,0.79
4031,Shear keys - BS - 2553/2554,20110,201,0.91
4031,Shear keys - BS - 2553/2554,20111,201,1.10
4031,Shear keys - BS - 2553/2554,20112,201,1.42
4031,Shear keys - BS - 2553/2554,20113,201,1.72
4031,Shear keys - BS - 2553/2554,20114,201,2.12
4031,Shear keys - BS - 2553/2554,20115,201,4.37
4031,Shear keys - BS - 2553/2554,20116,201,2.56
4031,Shear keys - BS - 2553/2554,20117,201,1.87
4031,Shear keys - BS - 2553/2554,20118,201,1.42
4031,Shear keys - BS - 2553/2554,20119,201,1.22
4031,Shear keys - BS - 2553/2554,20120,201,1.05
4031,Shear keys - BS - 2553/2554,20121,201,0.99
4031,Shear keys - BS - 2553/2554,20122,201,0.93
4031,Shear keys - BS - 2553/2554,20123,201,0.82
4031,Shear keys - BS - 2553/2554,20124,201,0.93
4031,Shear keys - BS - 2553/2554,20125,201,1.02
4031,Shear keys - BS - 2553/2554,20126,201,1.10
4031,Shear keys - BS - 2553/2554,20127,201,1.32
4031,Shear keys - BS - 2553/2554,20128,201,1.62
4031,Shear keys - BS - 2553/2554,20129,201,2.06
4031,Shear keys - BS - 2553/2554,20130,201,2.65
4031,Shear keys - BS - 2553/2554,20131,201,3.47
4031,Shear keys - BS - 2553/2554,20132,201,5.36
4031,Shear keys - BS - 2553/2554,20133,201,3.76
4031,Shear keys - BS - 2553/2554,20134,201,2.68
4031,Shear keys - BS - 2553/2554,20135,201,2.04
4031,Shear keys - BS - 2553/2554,20136,201,1.51
4031,Shear keys - BS - 2553/2554,20137,201,1.26
4031,Shear keys - BS - 2553/2554,20138,201,1.09
4031,Shear keys - BS - 2553/2554,20139,201,1.07
4031,Shear keys - BS - 2553/2554,20140,201,0.99
4031,Shear keys - BS - 2553/2554,20141,201,0.83
4031,Shear keys - BS - 2553/2554,20142,201,0.77
4031,Shear keys - BS - 2553/2554,20143,201,0.75
4031,Shear keys - BS - 2553/2554,20144,201,0.75
4031,Shear keys - BS - 2553/2554,20145,201,0.78
4031,Shear keys - BS - 2553/2554,20146,201,0.78
4031,Shear keys - BS - 2553/2554,20147,201,0.75
4031,Shear keys - BS - 2553/2554,20148,201,0.78
4031,Shear keys - BS - 2553/2554,20149,201,0.76
4031,Shear keys - BS - 2553/2554,20150,201,0.75
4031,Shear keys - BS - 2553/2554,20151,201,0.71
4031,Shear keys - BS - 2553/2554,20152,201,0.74
4031,Shear keys - BS - 2553/2554,20153,201,0.77
4031,Shear keys - BS - 2553/2554,20154,201,0.88
