Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
max Ny,22.115,7.603,711.1,-197.8,0.380247700783853
min My,22.115,7.603,707.2,-198.6,0.380122188346953
max My,22.115,7.603,-459.6,66.1,0.00255324050766829
max Ny,22.25,7.603,413.4,-299.1,0.429457484438553
min My,22.25,7.603,408,-302.2,0.432137439214522
max My,22.25,7.603,-432.1,87.8,0.0134174317276819
max Ny,22.25,7.747,401.3,-261.2,0.373611977572572
min My,22.25,7.747,397.3,-262.8,0.374645662835818
max My,22.25,7.747,-443.1,80.9,0.00909236008121159
max Ny,22.115,7.747,692.6,-190.9,0.364905851035598
min My,22.115,7.747,690.1,-191.4,0.364810361698549
max My,22.115,7.747,-497,69,0.00206753049198065
max Ny,22.115,8.159,533.3,-86.5,0.177915944998069
min My,22.115,8.159,532,-86.7,0.177757785986583
max My,22.115,8.159,-522.5,56.7,0
max Ny,22.25,8.159,427.5,-93.2,0.159638363168645
min My,22.25,8.159,425.7,-93.6,0.159554680807324
max My,22.25,8.159,-441.8,65.6,0.00308087285039348
max Ny,22.25,9.141,41.9,-2.3,0
min My,22.25,9.141,39.9,-2.9,0
max My,22.25,9.141,-339.4,43.2,0.00047771795801555
max Ny,22.115,9.141,11,-7.9,0.00847625657598447
min My,22.115,9.141,-11,-13.3,0.00901643050518952
max My,22.115,9.141,-380.8,41.7,0
max Ny,22.115,9.627,-64.7,5.5,0
min My,22.115,9.627,-95.8,2.5,0
max My,22.115,9.627,-371.5,31.9,0
max Ny,22.25,9.627,-52.6,3.7,0
min My,22.25,9.627,-90.4,-1.6,0
max My,22.25,9.627,-264.4,29.9,0
max Ny,22.25,9.973,-41.9,10.9,0.00277161362325132
min My,22.25,9.973,-46.3,10.3,0.00194958258023449
max My,22.25,9.973,-226.5,42.4,0.00515180040225427
max Ny,22.115,9.973,-57.2,8.2,0.00031003670080999
min My,22.115,9.973,-60.7,7.8,0.000101164668006097
max My,22.115,9.973,-290.9,30.4,0
max Ny,22.115,10.185,-23.9,4.1,0.00037184286615936
min My,22.115,10.185,-31.1,3.2,0
max My,22.115,10.185,-144.9,17.7,5.70525546540003E-05
max Ny,22.25,10.185,6.1,3.9,0.00431113674172668
min My,22.25,10.185,-48.6,1.7,0
max My,22.25,10.185,-64.3,22.2,0.00816684523368165
max Ny,22.25,10.415,51.8,0.5,0
min My,22.25,10.415,3.5,-6.6,0.00603036844854252
max My,22.25,10.415,24.5,4.1,0.00825876663452618
max Ny,22.115,10.415,-27.7,1,0
min My,22.115,10.415,-36.6,0.3,0
max My,22.115,10.415,-117.5,9.2,0
max Ny,22.115,10.585,6.1,-3.2,0.00374667801541056
min My,22.115,10.585,0,-4.1,0.00353544682708009
max My,22.115,10.585,-45.5,3.2,0
max Ny,22.25,10.585,-47.1,-8.2,0.000784648994718016
min My,22.25,10.585,-105.3,-17.3,0.00132518688997526
max My,22.25,10.585,-130.5,-3.9,0
max Ny,22.25,10.815,-34.6,-23.6,0.0135638229619693
min My,22.25,10.815,-81.3,-47,0.0250935049824549
max My,22.25,10.815,-110,-15.4,0.000492275331579074
max Ny,22.115,10.815,20.8,-13.5,0.0148633222934274
min My,22.115,10.815,16.8,-15.9,0.0160611720380014
max My,22.115,10.815,-18.5,-5.5,0.00170059719303777
max Ny,22.554,7.603,308.6,-252.4,0.334427932834407
min My,22.554,7.603,306,-254.2,0.336165456650416
max My,22.554,7.603,-336.8,93,0.0259477249962396
